path_family,path_progress,n_pairs,A_isi_median,A_isi_q25,A_isi_q75,rheobase_J_median,active_rate_median,mean_isi_median,occupancy_median
drive_late,0.125,32,-0.0137176770299827,-0.0696031301348373,0.0821493602807584,0.27121447611138183,76.16031540088662,11.653493510198071,0.9845550629132886
drive_late,0.15,32,-0.0324182334878721,-0.0726911353164728,0.0738504924854603,0.2669544307797776,75.01956281600292,11.357962544798797,0.987311960652345
drive_late,0.175,32,-0.0450556301437724,-0.0840167830335125,0.0515498577584492,0.25924177102835455,75.7887802212532,11.35848890213972,0.9782933734241124
drive_late,0.2,32,-0.0532630962119061,-0.1059312912001633,0.0385102924249454,0.25915967630653575,76.98870425940987,11.479753091867517,0.9844727373065768
drive_late,0.225,32,-0.0688318671202382,-0.1222518868357,0.0622551010815586,0.26090929326369827,77.15638298968832,11.140380779432292,0.982658076185884
drive_late,0.25,32,-0.079036368668486,-0.1391241915458174,0.064170582473319,0.2605255329305701,76.09969144876851,11.253673046668473,0.9834117494605495
drive_late,0.275,32,-0.0806819663055319,-0.1537232214784906,0.0415142275829645,0.2631455917670894,73.9670577455847,11.055951553390436,0.9852313779269894
drive_late,0.3,32,-0.0957004825987871,-0.1640044730218289,0.0733604562917216,0.265422017340689,71.23864877585191,11.212920615568493,0.9833148805862196
drive_late,0.325,32,-0.1048725284008487,-0.1692853811736388,0.0889992593600246,0.26904366328529994,71.46063599867963,11.20155104847048,0.9846237264161708
drive_late,0.35,32,-0.0991447254165862,-0.158018535029994,0.1036283663337375,0.27897803982463065,72.28120931455858,11.178412983251077,0.9859754416137154
drive_late,0.375,32,-0.0983854762844326,-0.1641703367023054,0.1082327081009148,0.2907054751693705,72.11543261655424,11.056018870600884,0.9753247014469736
drive_late,0.4,32,-0.0829097239021161,-0.169248572505571,0.1087286559061829,0.296883402600646,72.58606662556826,11.159620132881493,0.9834126244946972
drive_late,0.425,32,-0.0650139917241194,-0.1653333366268624,0.1436454842176852,0.30576011351564164,73.0598166781395,11.335103443147151,0.9786910212950778
drive_late,0.45,32,0.0340609829655602,-0.1577985030212267,0.1570596427140397,0.3160463958825743,71.71458221005649,11.420416917841678,0.9818509047402272
drive_late,0.475,32,0.0164862833227373,-0.1452871543071588,0.1480642432472383,0.3291181492099643,69.28766643903691,11.514837549812476,0.9809957084912772
drive_late,0.5,32,4.447302563370019e-05,-0.1521005467788972,0.1683359365038596,0.34743443287574116,68.47538550237402,11.524980284702796,0.9833414491047958
drive_late,0.525,32,0.02530632138922,-0.1374584697928554,0.1882733240704459,0.36083382541951353,67.70525371170547,11.463191206228528,0.982190456718846
drive_late,0.55,32,0.0311938049953185,-0.0995217917343101,0.2226339224290895,0.36505890885269365,68.08540622667223,11.417918201142069,0.9823398874086292
drive_late,0.5750000000000001,32,0.0705230631766807,-0.082936131996478,0.252061001662607,0.4058451102165337,69.01458006468238,11.550270071406436,0.9812177116194574
drive_late,0.6000000000000001,32,0.0798030468235527,-0.0570944499532876,0.2722719748127297,0.43535684258226537,66.96750298244537,11.62453209971012,0.978811246893476
drive_late,0.625,32,0.1558717772789639,-0.012928244006977,0.2991019635277741,0.461615217154767,68.81171261539112,11.978908255714476,0.9778155014382596
