group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,rheobase_J,q75_firing_rate_hz,q75_mean_isi_ms,q50_firing_rate_hz,q50_mean_isi_ms,cell_weight_within_group,within_cell_support_weight,group_support_weight,z_log10_rheobase_J,z_log10_firing_rate_q75
SCA3,SCA3_05,SCA3_AN01,r_LOW,r_LOW,4.932184173036958,0.0006480540018362,4.36161393974913,0.3323480760746279,2.471182784287799,43.71647228852024,19.390638432568053,23.96614823712213,22.83687403972869,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.0466697267411755,-0.8761276723492296
SCA3,SCA3_05,SCA3_AN01,r_HIGH,r_HIGH,4.017092229938917,0.0590798966523011,1.6494085627972792,0.2942362699849268,2.2781754817492814,60.17385186136822,16.80412272266076,48.46770712316597,20.75570591896345,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.9614755605918133,-0.03960816970234344
SCA3,SCA3_05,SCA3_AN01,s_HIGH,s_HIGH,4.864054646667115,0.0006776655975539,4.3731695928770025,0.3378768246610932,2.443610312496582,43.71647228852024,19.68455045231128,23.96614823712213,22.96024003007814,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.034915154889495,-0.8761276723492296
SCA3,SCA3_05,SCA3_AN01,kappa_I_LOW,kappa_I_LOW,4.791687949288009,0.0542314160920349,0.7987933030433494,0.0480561856737695,2.2747289227753797,53.50367036852569,18.80639558745504,50.79147273887093,19.74093753341327,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.9598894660791949,-0.34720356906246874
SCA3,SCA3_05,SCA3_AN01,kappa_I_HIGH,kappa_I_HIGH,2.7246783396644254,0.0591584594723072,7.181695318183479,0.7580592364653818,2.44016375352268,22.812305053777223,,1.7883549667832528,,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.0334365163582482,-2.579010551321347
SCA3,SCA3_06,SCA3_AN02,best,best,3.32112664756946,0.000172535267681,1.80693033257445,0.113660442709963,5.238728290213989,29.749076354679765,31.86810380047486,,,0.16666666666666666,1.0,0.16666666666666666,1.8338288244906333,-1.883908001095461
SCA3,SCA3_09,SCA3_AN02,best,best,3.56794792056019,0.0001570401851009,1.28766365576524,0.15770178132879,2.2595007918063086,30.280172413793142,27.98144502491703,19.61206896551728,38.47050782265016,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.9528526449015091,-1.8375804730494092
SCA3,SCA3_09,SCA3_AN02,b_LOW,b_LOW,2.343229745087469,0.0707211746046489,9.492341680611522,0.933669175891253,2.224592773955368,31.48091133004929,26.67357644246917,17.149014778325277,,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.9365412503027931,-1.7357668174930028
SCA3,SCA3_09,SCA3_AN02,kappa_I_HIGH,kappa_I_HIGH,2.944433158643898,0.0709704363934802,5.596694353801012,0.9198341083125364,2.0976545272246767,29.895320197044374,28.315370626424784,18.688423645320363,,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.8749896159158966,-1.8710691419029126
WT,WT_03,NA_NOT_RECOVERABLE,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,1.6558117865631434,95.35732644394558,10.231883977551352,78.80077527913565,12.479893245658618,0.08333333333333333,0.25,0.020833333333333332,0.6271988264709525,1.1657513152716035
