biological_pair_key,dt_ms,view,marker_variant,aggregation_order,n_support_scenarios,kl_balance_p,kl_balance_p_q25,kl_balance_p_q75,firing_balance_p,kl_minus_firing_p
WT_16__TO__SCA3_01,0.0125,xyz,q75_seed_isotonic,marker_first,2,0.8696361927781,0.8021610754175245,0.9371113101386757,0.7598974899669864,0.10973870281111364
WT_16__TO__SCA3_01,0.0125,xyz,seed_median_curve_first,marker_first,2,0.7237870837745197,0.6468669435994787,0.8007072239495607,0.7598974899669864,-0.03611040619246664
WT_16__TO__SCA3_01,0.0125,xyz,seed_median_curve_isotonic,marker_first,2,0.7237870837745197,0.6468669435994787,0.8007072239495607,0.7598974899669864,-0.03611040619246664
WT_16__TO__SCA3_01,0.0125,xyz,seed_median_curve_persistent,marker_first,2,0.7237870837745197,0.6468669435994787,0.8007072239495607,0.7598974899669864,-0.03611040619246664
WT_16__TO__SCA3_01,0.0125,z,median_seed_isotonic,marker_first,2,0.9153590936369639,0.8580083128275894,0.9727098744463384,0.7598974899669864,0.15546160366997752
WT_16__TO__SCA3_01,0.0125,z,q25_seed_isotonic,marker_first,2,0.8523704643701122,0.771198940402911,0.9335419883373134,0.7598974899669864,0.09247297440312585
WT_16__TO__SCA3_01,0.0125,z,q75_seed_isotonic,marker_first,2,0.93648473020422,0.8902105681310033,0.9827588922774366,0.7598974899669864,0.1765872402372336
WT_16__TO__SCA3_01,0.0125,z,seed_median_curve_first,marker_first,2,0.9137766386314743,0.8580083128275894,0.9695449644353593,0.7598974899669864,0.15387914866448793
WT_16__TO__SCA3_01,0.0125,z,seed_median_curve_isotonic,marker_first,2,0.9137766386314743,0.8580083128275894,0.9695449644353593,0.7598974899669864,0.15387914866448793
WT_16__TO__SCA3_01,0.0125,z,seed_median_curve_persistent,marker_first,2,0.9137766386314743,0.8580083128275894,0.9695449644353593,0.7598974899669864,0.15387914866448793
WT_16__TO__SCA3_01,0.025,xy,median_seed_isotonic,marker_first,2,0.820483172134078,0.8045896816813837,0.8363766625867722,0.7598974899669864,0.06058568216709159
WT_16__TO__SCA3_01,0.025,xy,q25_seed_isotonic,marker_first,2,0.7951546473631931,0.7754798560976063,0.8148294386287799,0.7598974899669864,0.03525715739620672
WT_16__TO__SCA3_01,0.025,xy,q75_seed_isotonic,marker_first,2,0.8509389830481209,0.8372066060502473,0.8646713600459943,0.7598974899669864,0.09104149308113452
WT_16__TO__SCA3_01,0.025,xy,seed_median_curve_first,marker_first,2,0.8234973720018057,0.8045896816813837,0.8424050623222277,0.7598974899669864,0.06359988203481937
WT_16__TO__SCA3_01,0.025,xy,seed_median_curve_isotonic,marker_first,2,0.8234973720018057,0.8045896816813837,0.8424050623222277,0.7598974899669864,0.06359988203481937
WT_16__TO__SCA3_01,0.025,xy,seed_median_curve_persistent,marker_first,2,0.8234973720018057,0.8045896816813837,0.8424050623222277,0.7598974899669864,0.06359988203481937
WT_16__TO__SCA3_01,0.025,xyz,median_seed_isotonic,marker_first,2,0.7292901659791158,0.6366769979572037,0.821903334001028,0.7598974899669864,-0.030607323987870583
WT_16__TO__SCA3_01,0.025,xyz,q25_seed_isotonic,marker_first,2,0.6703306122790911,0.6101181188765412,0.7305431056816409,0.7598974899669864,-0.08956687768789529
WT_16__TO__SCA3_01,0.025,xyz,q75_seed_isotonic,marker_first,2,0.817275543451522,0.8024664424067618,0.8320846444962822,0.7598974899669864,0.05737805348453562
WT_16__TO__SCA3_01,0.025,xyz,seed_median_curve_first,marker_first,2,0.7270379472011381,0.6366769979572037,0.8173988964450727,0.7598974899669864,-0.03285954276584824
WT_16__TO__SCA3_01,0.025,xyz,seed_median_curve_isotonic,marker_first,2,0.7270379472011381,0.6366769979572037,0.8173988964450727,0.7598974899669864,-0.03285954276584824
WT_16__TO__SCA3_01,0.025,xyz,seed_median_curve_persistent,marker_first,2,0.7270379472011381,0.6366769979572037,0.8173988964450727,0.7598974899669864,-0.03285954276584824
WT_16__TO__SCA3_01,0.025,z,median_seed_isotonic,marker_first,2,0.915638513073361,0.8596866731781797,0.9715903529685422,0.7598974899669864,0.1557410231063746
WT_16__TO__SCA3_01,0.025,z,q25_seed_isotonic,marker_first,2,0.6871792803621897,0.6056165318356477,0.7687420288887318,0.7598974899669864,-0.07271820960479669
WT_16__TO__SCA3_01,0.025,z,q75_seed_isotonic,marker_first,2,0.9371904632797871,0.8930712794116376,0.9813096471479366,0.7598974899669864,0.1772929733128007
WT_16__TO__SCA3_01,0.025,z,seed_median_curve_first,marker_first,2,0.9148940858684245,0.8596866731781797,0.9701014985586691,0.7598974899669864,0.1549965959014381
