dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.0125,z,seed_median_curve_persistent,marker_first,32,-0.15677606518118237,-0.31282890067360863,0.016044610141185217,0.71875,12,-0.20349831961279952,-0.2863283274548676,-0.07365645822921045,0.8333333333333334,8,-0.16884230053952418,0.625,True
0.025,xy,median_seed_isotonic,curve_first,32,-0.15608496374866337,-0.39274952414563835,0.039337950570413414,0.71875,12,-0.16356042868961979,-0.282164235197219,-0.09470931278058611,0.8333333333333334,8,-0.17817423063061089,1.0,True
0.025,xy,median_seed_isotonic,marker_first,32,-0.08227953259595233,-0.2083688382326271,0.04585497714842532,0.65625,12,-0.092352713594151,-0.1876817887724735,-0.05093800262602467,0.8333333333333334,8,-0.06524666358469056,1.0,True
0.025,xy,q25_seed_isotonic,curve_first,32,-0.17571236127150877,-0.4102765785990361,0.006952285610440999,0.71875,12,-0.20352332264380446,-0.2883968903058942,-0.13993203873281335,0.8333333333333334,8,-0.19709092466219513,1.0,True
0.025,xy,q25_seed_isotonic,marker_first,32,-0.11858135035657882,-0.2942318037189704,-0.00675699079524196,0.78125,12,-0.13091897840331507,-0.2512102359470407,-0.06442337078981844,0.9166666666666666,8,-0.11716077322004181,1.0,True
0.025,xy,q75_seed_isotonic,curve_first,32,-0.11341467334338318,-0.3153264331673758,0.05003525319196121,0.6875,12,-0.08080221623555829,-0.2091543472669339,-0.03634061626943895,0.75,8,-0.15885244789150849,1.0,True
0.025,xy,q75_seed_isotonic,marker_first,32,-0.03355133271358718,-0.16669814451527454,0.1041630061125989,0.5625,12,-0.02949648511670147,-0.10566851482008104,0.03459517155692577,0.5833333333333334,8,-0.014630093494237953,0.75,True
0.025,xy,seed_median_curve_first,curve_first,32,-0.15552624735706683,-0.38886198672495215,-0.034802841778128736,0.75,12,-0.18620683441992703,-0.2750249103242202,-0.11554056858142334,0.8333333333333334,8,-0.1984101873908225,1.0,True
0.025,xy,seed_median_curve_first,marker_first,32,-0.09747634908916197,-0.2349687518817659,0.02725795914375441,0.6875,12,-0.12141103962563596,-0.2106594187171394,-0.07108870437596992,0.8333333333333334,8,-0.12092092438569406,1.0,True
0.025,xy,seed_median_curve_isotonic,curve_first,32,-0.15407774256954587,-0.3355910992830483,0.04083651574442566,0.71875,12,-0.1630713185939341,-0.20435700690593334,-0.09057833566768708,0.75,8,-0.1682074144429832,1.0,True
