dt_ms,view,marker_variant,aggregation_order,omitted_animal_id,n_animal_pairs,median_kl_minus_firing_p
0.025,xyz,median_seed_isotonic,curve_first,WT_DD09,6,-0.1662068630486026
0.025,xyz,median_seed_isotonic,curve_first,WT_DD10,6,-0.08012523504085733
0.025,xyz,median_seed_isotonic,marker_first,SCA3_DD20,4,-0.1092117658186829
0.025,xyz,median_seed_isotonic,marker_first,SCA3_DD24,4,-0.13034195549170835
0.025,xyz,median_seed_isotonic,marker_first,WT_150130,6,-0.184774503838896
0.025,xyz,median_seed_isotonic,marker_first,WT_150305,6,-0.11089885078973215
0.025,xyz,median_seed_isotonic,marker_first,WT_DD09,6,-0.13908437974154367
0.025,xyz,median_seed_isotonic,marker_first,WT_DD10,6,-0.06520872669237984
0.025,xyz,q25_seed_isotonic,curve_first,SCA3_DD20,4,-0.13392820508256686
0.025,xyz,q25_seed_isotonic,curve_first,SCA3_DD24,4,-0.1633736161189776
0.025,xyz,q25_seed_isotonic,curve_first,WT_150130,6,-0.18315587124247465
0.025,xyz,q25_seed_isotonic,curve_first,WT_150305,6,-0.12207054092681371
0.025,xyz,q25_seed_isotonic,curve_first,WT_DD09,6,-0.17523128027473073
0.025,xyz,q25_seed_isotonic,curve_first,WT_DD10,6,-0.1141459499590698
0.025,xyz,q25_seed_isotonic,marker_first,SCA3_DD20,4,-0.20295538216257553
0.025,xyz,q25_seed_isotonic,marker_first,SCA3_DD24,4,-0.1632401527822277
0.025,xyz,q25_seed_isotonic,marker_first,WT_150130,6,-0.22458688334707444
0.025,xyz,q25_seed_isotonic,marker_first,WT_150305,6,-0.16691490649496205
0.025,xyz,q25_seed_isotonic,marker_first,WT_DD09,6,-0.20295538216257553
0.025,xyz,q25_seed_isotonic,marker_first,WT_DD10,6,-0.14160865159772879
0.025,xyz,q75_seed_isotonic,curve_first,SCA3_DD20,4,-0.052163172445931896
0.025,xyz,q75_seed_isotonic,curve_first,SCA3_DD24,4,-0.15385080910312848
0.025,xyz,q75_seed_isotonic,curve_first,WT_150130,6,-0.16541841036339905
0.025,xyz,q75_seed_isotonic,curve_first,WT_150305,6,-0.08119637818885404
0.025,xyz,q75_seed_isotonic,curve_first,WT_DD09,6,-0.1527495547805254
0.025,xyz,q75_seed_isotonic,curve_first,WT_DD10,6,-0.06962877692858348
