subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_crossing,support_fraction,median,q25,q75
all_pairs,drive,p_intrinsic,0.2333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,27,0.375,0.6492525934101103,0.0,0.7906296445167592
all_pairs,drive,p_intrinsic,0.2333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,55,0.7638888888888888,0.0,0.0,0.4780764131173235
all_pairs,drive,p_intrinsic,0.2333333333333333,active,balance,0.5,p_drive,72,35,0.4861111111111111,0.5691370465792029,0.0,0.7116165429757477
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,17,0.2361111111111111,0.7569913132646641,0.6912074933108449,0.8278493454837965
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,54,0.75,0.15688408046103747,0.0,0.4134852692249624
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,balance,0.5,p_drive,72,27,0.375,0.6384550301771013,0.40967973099421673,0.7273260190516563
all_pairs,drive,p_intrinsic,0.2666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,28,0.3888888888888889,0.6446131074608956,0.0,0.8032454248563068
all_pairs,drive,p_intrinsic,0.2666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,56,0.7777777777777778,0.0,0.0,0.43418972085463975
all_pairs,drive,p_intrinsic,0.2666666666666666,active,balance,0.5,p_drive,72,38,0.5277777777777778,0.5441835517112432,0.0,0.72485672058979
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,17,0.2361111111111111,0.7825948918103749,0.6973934580873541,0.8388814938682034
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,54,0.75,0.19860999417525155,0.0,0.4172194739235469
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,balance,0.5,p_drive,72,27,0.375,0.6415890028024321,0.4425520601307456,0.7156328176198137
all_pairs,drive,p_intrinsic,0.3,active,SCA3_entry,0.6832817402871161,p_drive,72,32,0.4444444444444444,0.6403127986241908,0.0,0.7865641086722803
all_pairs,drive,p_intrinsic,0.3,active,WT_exit,0.1483293470542087,p_drive,72,59,0.8194444444444444,0.0,0.0,0.4329947381050651
all_pairs,drive,p_intrinsic,0.3,active,balance,0.5,p_drive,72,40,0.5555555555555556,0.4820229141592935,0.0,0.729710763553721
all_pairs,drive,p_intrinsic,0.3,isi,SCA3_entry,0.7978563373093712,p_drive,72,19,0.2638888888888889,0.7894867742667772,0.6886002568274261,0.8538709649376671
all_pairs,drive,p_intrinsic,0.3,isi,WT_exit,0.1358293233470019,p_drive,72,57,0.7916666666666666,0.2097060824789237,0.0,0.4356185192983791
all_pairs,drive,p_intrinsic,0.3,isi,balance,0.5,p_drive,72,29,0.4027777777777778,0.6469314664270254,0.4816370789827137,0.7430200304056237
all_pairs,drive,p_intrinsic,0.3333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,33,0.4583333333333333,0.6350639475183913,0.0,0.8053756666941332
all_pairs,drive,p_intrinsic,0.3333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,61,0.8472222222222222,0.0,0.0,0.4256887187086791
all_pairs,drive,p_intrinsic,0.3333333333333333,active,balance,0.5,p_drive,72,43,0.5972222222222222,0.5150218425025385,0.0,0.7374107959973011
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,21,0.2916666666666667,0.7976860710116894,0.6952427438115806,0.8743386832651483
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,62,0.8611111111111112,0.2151010008119026,0.0,0.422184586541297
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,balance,0.5,p_drive,72,30,0.4166666666666667,0.6522635271463134,0.4424549696796284,0.7458339359370502
all_pairs,drive,p_intrinsic,0.3666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,37,0.5138888888888888,0.5731387467506227,0.0,0.7947017365057708
all_pairs,drive,p_intrinsic,0.3666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,64,0.8888888888888888,0.0,0.0,0.4474365942857017
all_pairs,drive,p_intrinsic,0.3666666666666666,active,balance,0.5,p_drive,72,44,0.6111111111111112,0.47597412346888385,0.0,0.6816925068089766
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,19,0.2638888888888889,0.782565775569938,0.6350547749784708,0.8897857638402756
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,63,0.875,0.2482370456159436,0.0,0.41197718692805463
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,balance,0.5,p_drive,72,31,0.4305555555555556,0.6187301811736208,0.4445157278223846,0.7462381134088394
all_pairs,drive,p_intrinsic,0.4,active,SCA3_entry,0.6832817402871161,p_drive,72,39,0.5416666666666666,0.53875707777555,0.0,0.790884438381104
all_pairs,drive,p_intrinsic,0.4,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,0.0,0.0,0.4508522289819366
all_pairs,drive,p_intrinsic,0.4,active,balance,0.5,p_drive,72,48,0.6666666666666666,0.4023089185761032,0.0,0.6827189509800202
all_pairs,drive,p_intrinsic,0.4,isi,SCA3_entry,0.7978563373093712,p_drive,72,18,0.25,0.7670522306726979,0.6068407970132275,0.8899584056252445
all_pairs,drive,p_intrinsic,0.4,isi,WT_exit,0.1358293233470019,p_drive,72,65,0.9027777777777778,0.20828981606301294,0.0,0.43219368053187124
all_pairs,drive,p_intrinsic,0.4,isi,balance,0.5,p_drive,72,33,0.4583333333333333,0.628112888886957,0.43807422208408425,0.7536028956204341
all_pairs,drive,p_intrinsic,0.4333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,42,0.5833333333333334,0.48258841564349064,0.0,0.7481614785370043
all_pairs,drive,p_intrinsic,0.4333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,0.0,0.0,0.44652780132579106
all_pairs,drive,p_intrinsic,0.4333333333333333,active,balance,0.5,p_drive,72,51,0.7083333333333334,0.3073357538451388,0.0,0.6935644004653089
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,21,0.2916666666666667,0.7724378998069998,0.6368842882969014,0.9104617905613733
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,65,0.9027777777777778,0.22611880593263767,0.0,0.45282109831418754
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,balance,0.5,p_drive,72,38,0.5277777777777778,0.5850322629333733,0.3471258514748234,0.7563574433679942
all_pairs,drive,p_intrinsic,0.4666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,72,45,0.625,0.46352541316903245,0.0,0.7707423661042864
all_pairs,drive,p_intrinsic,0.4666666666666667,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,0.0,0.0,0.44389463284813985
all_pairs,drive,p_intrinsic,0.4666666666666667,active,balance,0.5,p_drive,72,54,0.75,0.2990133818711963,0.0,0.7097180187219507
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,72,20,0.2777777777777778,0.7657062673740831,0.6232993670231914,0.8750797745606688
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,WT_exit,0.1358293233470019,p_drive,72,65,0.9027777777777778,0.24455607755663852,0.0,0.4771122708214703
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,balance,0.5,p_drive,72,42,0.5833333333333334,0.6331546958136727,0.22251916884783854,0.7681356750368127
all_pairs,drive,p_intrinsic,0.5,active,SCA3_entry,0.6832817402871161,p_drive,72,47,0.6527777777777778,0.46167026207363826,0.0,0.7832892360688309
all_pairs,drive,p_intrinsic,0.5,active,WT_exit,0.1483293470542087,p_drive,72,67,0.9305555555555556,0.0,0.0,0.4565303703137538
all_pairs,drive,p_intrinsic,0.5,active,balance,0.5,p_drive,72,55,0.7638888888888888,0.11250664362495764,0.0,0.7110319739174427
all_pairs,drive,p_intrinsic,0.5,isi,SCA3_entry,0.7978563373093712,p_drive,72,21,0.2916666666666667,0.7408767971331068,0.4959611501986361,0.8662407237882283
all_pairs,drive,p_intrinsic,0.5,isi,WT_exit,0.1358293233470019,p_drive,72,66,0.9166666666666666,0.2734395082676846,0.0,0.4917659457090373
all_pairs,drive,p_intrinsic,0.5,isi,balance,0.5,p_drive,72,45,0.625,0.6736490459127095,0.12905897283041334,0.8029011530427762
all_pairs,drive,p_intrinsic,0.5333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,49,0.6805555555555556,0.40304228765284084,0.0,0.7779971879844654
all_pairs,drive,p_intrinsic,0.5333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,70,0.9722222222222222,0.0,0.0,0.47283143939956507
all_pairs,drive,p_intrinsic,0.5333333333333333,active,balance,0.5,p_drive,72,54,0.75,0.06313747554934185,0.0,0.6941327311324578
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,20,0.2777777777777778,0.7792591832260571,0.40276034863521026,0.8530830530956292
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,69,0.9583333333333334,0.22776729937780843,0.0,0.4966867344531678
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,balance,0.5,p_drive,72,46,0.6388888888888888,0.661236884117553,0.033248080863938684,0.790630082005392
all_pairs,drive,p_intrinsic,0.5666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,72,49,0.6805555555555556,0.4096563628015628,0.0,0.7816692313499277
all_pairs,drive,p_intrinsic,0.5666666666666667,active,WT_exit,0.1483293470542087,p_drive,72,70,0.9722222222222222,0.0,0.0,0.4908576719368858
all_pairs,drive,p_intrinsic,0.5666666666666667,active,balance,0.5,p_drive,72,55,0.7638888888888888,0.11242571493503105,0.0,0.6745540328810098
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,72,23,0.3194444444444444,0.7432401809940551,0.014052804707435876,0.8648685603447162
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,WT_exit,0.1358293233470019,p_drive,72,69,0.9583333333333334,0.2425909761592979,0.0,0.5034935153033511
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,balance,0.5,p_drive,72,47,0.6527777777777778,0.6811258551008451,0.00788942746815163,0.7601980532932227
all_pairs,drive,p_intrinsic,0.6,active,SCA3_entry,0.6832817402871161,p_drive,72,49,0.6805555555555556,0.3521990666827413,0.0,0.7940549626049561
all_pairs,drive,p_intrinsic,0.6,active,WT_exit,0.1483293470542087,p_drive,72,71,0.9861111111111112,0.0,0.0,0.4954246648535882
all_pairs,drive,p_intrinsic,0.6,active,balance,0.5,p_drive,72,56,0.7777777777777778,0.15075954608376896,0.0,0.662157208593054
all_pairs,drive,p_intrinsic,0.6,isi,SCA3_entry,0.7978563373093712,p_drive,72,24,0.3333333333333333,0.7258294491659658,0.0,0.8638458997329311
