group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_07,/root/neurothermo/WT/cc_07.abf,6,300.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,2,2.0202020202020203,2.0202020202020203,226.9,2,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,7,350.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,8,400.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,9,450.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,10,500.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,0,2.0202020202020203,0.0,60.5,1,1,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,11,550.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,0,2.0202020202020203,0.0,38.39999999999998,1,1,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,12,600.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,0,2.0202020202020203,0.0,33.69999999999999,1,1,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,13,650.0,131.20000000000002,1131.2,0,no_signal,0,0,0,3,2,3.0303030303030303,2.0202020202020203,33.19999999999999,1,2,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,14,700.0,131.20000000000002,1131.2,0,no_signal,0,0,0,4,4,4.040404040404041,4.040404040404041,23.0,2,2,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,15,750.0,131.20000000000002,1131.2,0,no_signal,0,0,0,5,5,5.05050505050505,5.05050505050505,23.69999999999999,2,3,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,16,800.0,131.20000000000002,1131.2,0,no_signal,0,0,0,3,2,3.0303030303030303,2.0202020202020203,22.5,2,1,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,17,850.0,131.20000000000002,1131.2,0,no_signal,0,0,0,3,2,3.0303030303030303,2.0202020202020203,19.299999999999983,2,1,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,0,0.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
