biological_pair_key,both_core_secure,path_family,WT_exit_support_weight,WT_exit_p_weighted_median,balance_support_weight,balance_p_weighted_median,SCA3_entry_support_weight,SCA3_entry_p_weighted_median
WT_13__TO__SCA3_02,False,drive_late,0.8571428571428571,0.03259667695857104,0.42857142857142855,0.3557146465502678,0.0,
WT_13__TO__SCA3_04,True,drive_early,1.0,0.49149023577444245,1.0,0.8092861116801006,0.49999999999999994,0.9702553390314694
WT_13__TO__SCA3_04,True,coupled,1.0,0.4239338681037999,1.0,0.7602621863765587,0.49999999999999994,0.9107388411781723
WT_13__TO__SCA3_04,True,drive_late,1.0,0.09864307320185019,1.0,0.7430786407344387,0.49999999999999994,0.7199534619638331
WT_13__TO__SCA3_05,False,drive_early,0.8571428571428571,0.41905381973574973,0.8571428571428571,0.6935733663892223,0.14285714285714285,0.7413339823508727
WT_13__TO__SCA3_05,False,coupled,0.8571428571428571,0.3426939210903522,0.8571428571428571,0.6237733450015188,0.2857142857142857,0.46437027820544197
WT_13__TO__SCA3_05,False,drive_late,0.8571428571428571,0.12961065604411068,0.8571428571428571,0.3893011585715398,0.2857142857142857,0.3076996224217439
WT_13__TO__SCA3_06,True,drive_early,1.0,0.3605044547244844,1.0,0.5385333434746867,1.0,0.6783165641678066
WT_13__TO__SCA3_06,True,coupled,1.0,0.42736657940566314,1.0,0.6468222496050708,1.0,0.8033656977802439
WT_13__TO__SCA3_06,True,drive_late,1.0,0.3659485631416081,1.0,0.7319771791742792,1.0,0.875580807448893
WT_13__TO__SCA3_09,True,drive_early,1.0,0.2366471329458969,1.0,0.586818182211142,1.0,0.7552225962006672
WT_13__TO__SCA3_09,True,coupled,1.0,0.13169624985865028,1.0,0.2903228878020924,1.0,0.5525363919391979
WT_13__TO__SCA3_09,True,drive_late,1.0,0.29636420117783036,1.0,0.4934521117305592,1.0,0.49922573592683156
WT_14__TO__SCA3_01,True,drive_early,1.0,0.29114429212570286,1.0,0.5624360323571397,1.0,0.7178570593216076
WT_14__TO__SCA3_01,True,coupled,1.0,0.41562808100472115,1.0,0.6828306000792268,1.0,0.8665481360462836
WT_14__TO__SCA3_01,True,drive_late,1.0,0.0,1.0,0.8026093126314149,1.0,0.9227941900935894
WT_14__TO__SCA3_02,False,drive_early,1.0,0.6246140256806133,0.5,0.2169128205574161,0.21428571428571427,0.061713748714815636
WT_14__TO__SCA3_02,False,coupled,1.0,0.7978573786679297,0.42857142857142855,0.01832948654891582,0.21428571428571427,0.027906737840050964
WT_14__TO__SCA3_02,False,drive_late,1.0,0.803703928142059,0.35714285714285715,0.012801777555263363,0.21428571428571427,0.020164997105837818
WT_14__TO__SCA3_04,True,drive_early,1.0,0.29349689519017935,1.0,0.7268554425218631,0.41666666666666674,0.3558318792024421
WT_14__TO__SCA3_04,True,coupled,1.0,0.4908551616546661,1.0,0.679062564829859,0.5000000000000001,0.2957414573347909
WT_14__TO__SCA3_04,True,drive_late,1.0,0.673503806607632,1.0,0.8300965230927253,0.5000000000000001,0.11453257821116675
WT_14__TO__SCA3_05,False,drive_early,1.0,0.49131179117998136,1.0,0.7179016936003065,0.5,0.5725965398221653
WT_14__TO__SCA3_05,False,coupled,1.0,0.1712886851900702,1.0,0.7318418337915934,0.42857142857142855,0.3651805111378439
WT_14__TO__SCA3_05,False,drive_late,1.0,0.49774862309280316,1.0,0.8296707858211564,0.42857142857142855,0.2148283606932085
WT_14__TO__SCA3_06,True,drive_early,1.0,0.14013397072244943,1.0,0.41645879082802173,1.0,0.5980901240153452
WT_14__TO__SCA3_06,True,coupled,1.0,0.0,1.0,0.637754584703575,1.0,0.7958310396163479
WT_14__TO__SCA3_06,True,drive_late,1.0,0.0,1.0,0.6845290422539257,1.0,0.8447598822210073
WT_14__TO__SCA3_09,True,drive_early,1.0,0.08393265202958092,1.0,0.3412540484681166,1.0,0.8299382261296524
WT_14__TO__SCA3_09,True,coupled,1.0,5.657484897541204e-17,1.0,0.6058493635233492,1.0,0.8367948604157966
WT_14__TO__SCA3_09,True,drive_late,1.0,1.5201340440803822e-16,1.0,0.5610729388700841,1.0,0.653783547146214
WT_15__TO__SCA3_01,False,drive_early,1.0,0.19656586297037687,1.0,0.37539923486312937,1.0,0.588375182539895
WT_15__TO__SCA3_01,False,coupled,1.0,0.462723856672402,1.0,0.7063825999397927,1.0,0.875027894755049
WT_15__TO__SCA3_01,False,drive_late,1.0,0.6848954618037177,1.0,0.8452725745939984,1.0,0.9387330841379061
WT_15__TO__SCA3_02,False,drive_early,1.0,0.3105519182310551,0.7857142857142857,0.5533811692689737,0.21428571428571427,0.4053480891632008
WT_15__TO__SCA3_02,False,coupled,1.0,0.30469924210035526,0.5714285714285714,0.43953628667840755,0.25,0.28121531208835704
WT_15__TO__SCA3_02,False,drive_late,1.0,0.5673228016308595,0.5714285714285714,0.5353461749981601,0.39285714285714285,0.5404183990810423
WT_15__TO__SCA3_04,False,drive_early,1.0,0.15228615828523506,1.0,0.4261878272363745,0.9166666666666669,0.7447278745860935
WT_15__TO__SCA3_04,False,coupled,1.0,0.24425586179959907,1.0,0.6278411311907225,0.7083333333333334,0.7887746661756694
WT_15__TO__SCA3_04,False,drive_late,1.0,0.37938841647016747,1.0,0.8045220025570963,0.5833333333333335,0.9575745255757924
WT_15__TO__SCA3_05,False,drive_early,1.0,0.17861307426129502,1.0,0.360329762544296,0.42857142857142855,0.5948566155692067
WT_15__TO__SCA3_05,False,coupled,1.0,0.2340845421729997,1.0,0.5303745059742012,0.35714285714285715,0.5142892550822826
WT_15__TO__SCA3_05,False,drive_late,1.0,0.39565728420123564,1.0,0.8207146925190656,0.25,0.3825334464243788
WT_15__TO__SCA3_06,False,drive_early,1.0,0.1933940338342904,1.0,0.3919818582040799,1.0,0.7441239835855361
WT_15__TO__SCA3_06,False,coupled,1.0,0.5871613262258009,1.0,0.8243663056330858,1.0,0.9177950304406178
WT_15__TO__SCA3_06,False,drive_late,1.0,0.814131992099223,1.0,0.9021361858553685,1.0,0.9534748963146661
WT_15__TO__SCA3_09,False,drive_early,1.0,0.1669572576684857,1.0,0.5026935878807836,1.0,0.8400660145483038
WT_15__TO__SCA3_09,False,coupled,1.0,0.3159328607003895,1.0,0.6170008676050464,1.0,0.8228064450904299
WT_15__TO__SCA3_09,False,drive_late,1.0,0.19143448257958662,1.0,0.8428851137233799,1.0,0.8464005784213361
WT_16__TO__SCA3_01,True,drive_early,1.0,0.41823038359437537,1.0,0.6079083687116043,1.0,0.7260045448907677
WT_16__TO__SCA3_01,True,coupled,1.0,0.6009587597049124,1.0,0.759921556879537,1.0,0.8944429873014994
WT_16__TO__SCA3_01,True,drive_late,1.0,0.7152157144855473,1.0,0.8461949805536155,1.0,0.9376328807715825
WT_16__TO__SCA3_02,False,drive_early,1.0,0.7386739112382752,0.14285714285714285,0.760275221535527,0.0,
WT_16__TO__SCA3_02,False,coupled,1.0,0.8992036580812707,0.14285714285714285,0.9375659696262171,0.0,
WT_16__TO__SCA3_02,False,drive_late,1.0,0.4847750825271105,0.14285714285714285,0.9680883176657082,0.0,
WT_16__TO__SCA3_04,True,drive_early,1.0,0.559703299341586,1.0,0.79440159929694,0.49999999999999994,0.8365283699578666
WT_16__TO__SCA3_04,True,coupled,1.0,0.595756621282423,1.0,0.8634780939115947,0.49999999999999994,0.9685412028596568
WT_16__TO__SCA3_04,True,drive_late,1.0,0.7029950964322252,1.0,0.893191622432891,0.49999999999999994,0.9731444864051135
WT_16__TO__SCA3_05,False,drive_early,1.0,0.5079988358290776,1.0,0.7180954288203519,0.14285714285714285,0.7460545540792466
WT_16__TO__SCA3_05,False,coupled,1.0,0.6127399930835907,1.0,0.8525814841317996,0.2857142857142857,0.710280375054405
WT_16__TO__SCA3_05,False,drive_late,1.0,0.7070417756870931,1.0,0.9162146510792337,0.2857142857142857,0.5187761727039557
WT_16__TO__SCA3_06,True,drive_early,1.0,0.30042133205511545,1.0,0.496589495721005,1.0,0.6625541287206249
WT_16__TO__SCA3_06,True,coupled,1.0,0.4860249145628485,1.0,0.7234725282614131,1.0,0.8653933519211789
WT_16__TO__SCA3_06,True,drive_late,1.0,0.6813727688337884,1.0,0.8441211133029518,1.0,0.9267981191859163
WT_16__TO__SCA3_09,True,drive_early,1.0,0.3531909805823277,1.0,0.5946342476660114,1.0,0.786227328844156
WT_16__TO__SCA3_09,True,coupled,1.0,0.36818927198349605,1.0,0.6234290914523382,1.0,0.8342525665584665
WT_16__TO__SCA3_09,True,drive_late,1.0,0.20306482670994308,1.0,0.35460988999877424,1.0,0.6038054246840028
