subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support,q25_majority_support,q75_majority_support
all_pairs,drive,p_intrinsic,0.4666666666666667,active,balance,0.5,p_drive,72,70,0.9722222222222222,63,0.875,0.884920634920635,0.0333333333333333,0.0,0.3925454551748268,0.0333333333333333,0.0,0.44114479392993644
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,72,66,0.9166666666666666,36,0.5,0.5,0.5151005538563516,0.19827171816268938,0.726221971314205,0.5828064428048287,0.22002194234378933,0.7593959329355848
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,72,1.0,0.9357142857142858,0.07217787616410817,0.0,0.33651673794472264,0.07217787616410817,0.0,0.33651673794472264
all_pairs,drive,p_intrinsic,0.4666666666666667,isi,balance,0.5,p_drive,72,69,0.9583333333333334,56,0.7777777777777778,0.8005952380952381,0.4259294436105314,0.10676547441381276,0.5759661218710037,0.43520488042144734,0.13333333333333336,0.5808548514123113
all_pairs,drive,p_intrinsic,0.5,active,SCA3_entry,0.6832817402871161,p_drive,72,69,0.9583333333333334,60,0.8333333333333334,0.8107142857142857,0.0666666666666666,0.0,0.43304041464780285,0.09166666666666665,0.0,0.5767060117289995
all_pairs,drive,p_intrinsic,0.5,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,72,1.0,1.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666
all_pairs,drive,p_intrinsic,0.5,active,balance,0.5,p_drive,72,70,0.9722222222222222,64,0.8888888888888888,0.8908730158730159,0.025000000000000036,0.0,0.3889644817055365,0.03333333333333339,0.0,0.4151651015374712
all_pairs,drive,p_intrinsic,0.5,isi,SCA3_entry,0.7978563373093712,p_drive,72,67,0.9305555555555556,40,0.5555555555555556,0.5,0.5180803699265071,0.18021032834228204,0.72130014389545,0.6148217874408755,0.23903650474079763,0.7749695493228081
all_pairs,drive,p_intrinsic,0.5,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,72,1.0,0.9583333333333333,0.11904085124863868,0.0,0.3416172134304883,0.11904085124863868,0.0,0.3416172134304883
all_pairs,drive,p_intrinsic,0.5,isi,balance,0.5,p_drive,72,71,0.9861111111111112,61,0.8472222222222222,0.8333333333333331,0.4275510841807082,0.08544598989277218,0.5504217429307998,0.45000000000000007,0.13927991954678748,0.603664127154226
all_pairs,drive,p_intrinsic,0.5333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,70,0.9722222222222222,63,0.875,0.8333333333333333,0.08333333333333334,0.0,0.4439930091187026,0.1,0.0,0.5689369344139568
all_pairs,drive,p_intrinsic,0.5333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,72,1.0,1.0,0.0,0.0,0.16666666666666644,0.0,0.0,0.16666666666666644
all_pairs,drive,p_intrinsic,0.5333333333333333,active,balance,0.5,p_drive,72,70,0.9722222222222222,64,0.8888888888888888,0.8964285714285715,0.04166666666666663,0.0,0.3831549354323362,0.04166666666666666,0.0,0.38603103450622844
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,68,0.9444444444444444,43,0.5972222222222222,0.5446428571428572,0.5017588710972857,0.154976132003412,0.7316642782356771,0.5770410580227543,0.29265940647267824,0.7773444549654455
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,72,1.0,0.9583333333333333,0.10479236795043188,0.0,0.3375,0.10479236795043188,0.0,0.3375
all_pairs,drive,p_intrinsic,0.5333333333333333,isi,balance,0.5,p_drive,72,71,0.9861111111111112,62,0.8611111111111112,0.8333333333333333,0.4103387343237643,0.10301678828391983,0.5717366524387772,0.4454136806915082,0.10943306134019967,0.5946684224279297
all_pairs,drive,p_intrinsic,0.5666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,72,70,0.9722222222222222,63,0.875,0.8333333333333333,0.06666666666666662,0.0,0.43168676870303574,0.06666666666666665,0.0,0.5213184048249943
all_pairs,drive,p_intrinsic,0.5666666666666667,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,72,1.0,1.0,0.0,0.0,0.14316467160854923,0.0,0.0,0.14316467160854923
all_pairs,drive,p_intrinsic,0.5666666666666667,active,balance,0.5,p_drive,72,70,0.9722222222222222,64,0.8888888888888888,0.9166666666666667,0.04166666666666678,0.0,0.374197353307166,0.04166666666666678,0.0,0.3857051082907492
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,72,68,0.9444444444444444,42,0.5833333333333334,0.5452380952380953,0.491268571794246,0.1967033698633836,0.7441751733973476,0.604219160997488,0.28982015639415015,0.792708463980161
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,72,1.0,0.9821428571428572,0.1333333333333333,9.236174184899682e-17,0.3635020042989785,0.1333333333333333,9.236174184899682e-17,0.3635020042989785
all_pairs,drive,p_intrinsic,0.5666666666666667,isi,balance,0.5,p_drive,72,72,1.0,63,0.875,0.8333333333333334,0.41693282978590585,0.1,0.5796696606443869,0.45608130491679943,0.10009619964991506,0.59426891089629
all_pairs,drive,p_intrinsic,0.6,active,SCA3_entry,0.6832817402871161,p_drive,72,70,0.9722222222222222,63,0.875,0.8333333333333333,0.08333333333333331,0.0,0.47706054243054663,0.0833333333333333,0.0,0.5351488919921845
all_pairs,drive,p_intrinsic,0.6,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,72,1.0,1.0,0.0,0.0,0.13395341328086577,0.0,0.0,0.13395341328086577
