biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_01,drive_early,0.975,WT_03,SCA3_01,1.095080788740856,1.061402825376117,6.821517296930479,41.12262513256243,23.955354911664497,0.9851070799498672
WT_03__TO__SCA3_01,drive_early,1.0,WT_03,SCA3_01,1.0576033236762803,1.0162790056368851,7.01837996400393,43.55800091701055,22.465229611951617,0.9785404920382408
WT_03__TO__SCA3_01,drive_late,0.0,WT_03,SCA3_01,0.09964741225882578,-0.027529386000945053,1.73703332347371,98.62928178674366,9.407677302795504,0.994149059631611
WT_03__TO__SCA3_01,drive_late,0.025,WT_03,SCA3_01,0.09020694543075088,-0.026219504737532123,1.685555806395036,99.94051687838196,9.521850386242258,0.9904954432172652
WT_03__TO__SCA3_01,drive_late,0.05,WT_03,SCA3_01,0.08621810596177783,-0.026400692436223436,1.640098623936832,102.27239746369914,9.744580657311673,0.996601626101654
WT_03__TO__SCA3_01,drive_late,0.075,WT_03,SCA3_01,0.08717302598753884,-0.023848792906058607,1.6002525624383126,102.58720387205592,9.721056381001516,0.9927244162474368
WT_03__TO__SCA3_01,drive_late,0.1,WT_03,SCA3_01,0.07747162327885981,-0.039967754172773214,1.5613403930061645,102.90395428622372,9.704604337105144,0.9967699801148964
WT_03__TO__SCA3_01,drive_late,0.125,WT_03,SCA3_01,0.07012427778383816,-0.04618290302852951,1.5317847087586562,102.20066016736006,9.616549349183526,0.9932973248297094
WT_03__TO__SCA3_01,drive_late,0.15,WT_03,SCA3_01,0.06793296339708521,-0.05418994080544154,1.5027678000052431,101.49299605119802,9.541194610574935,0.9953874459438514
WT_03__TO__SCA3_01,drive_late,0.175,WT_03,SCA3_01,0.0672445616433161,-0.04971239053290823,1.4783495531301611,100.780921080596,9.478262051954914,0.9925649690339188
WT_03__TO__SCA3_01,drive_late,0.2,WT_03,SCA3_01,0.07182600304909267,-0.053050513545226545,1.4583189599904456,101.09598557705868,9.427323420385594,0.9919600076975132
WT_03__TO__SCA3_01,drive_late,0.225,WT_03,SCA3_01,0.07402496054978215,-0.048989076456657905,1.442503137490545,101.41302618043584,9.4675490071381,0.992885238036773
WT_03__TO__SCA3_01,drive_late,0.25,WT_03,SCA3_01,0.07448174421873915,-0.040969268181452294,1.39427853068669,101.73206154063875,9.51682464448161,0.9915592806938528
WT_03__TO__SCA3_01,drive_late,0.275,WT_03,SCA3_01,0.08130009456349802,-0.0413970964980039,1.3450451429290675,102.05311054300248,9.660609364943095,0.9934680663767996
WT_03__TO__SCA3_01,drive_late,0.3,WT_03,SCA3_01,0.08741785255966987,-0.04148643270178813,1.301137482212534,102.37619231201234,9.806662982778422,0.9937242357143834
WT_03__TO__SCA3_01,drive_late,0.325,WT_03,SCA3_01,0.09351759384290331,-0.03195322030074089,1.269235822473178,100.60538078214022,9.799221106534198,0.9921398888692068
