subset,mode,p_intrinsic,projection,stage,A_threshold,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support
all_pairs,J_only,0.8333333333333334,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.17500000000000002,0.02499999999999998,0.2666666666666666,0.17500000000000002
all_pairs,J_only,0.8333333333333334,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.17500000000000002,0.02499999999999998,0.2666666666666666,0.17500000000000002
all_pairs,J_only,0.8333333333333334,isi,SCA3_entry,0.7978563373093712,72,72,1.0,71,0.9861111111111112,0.969047619047619,0.32499999999999996,0.1,0.4,0.3333333333333333
all_pairs,J_only,0.8333333333333334,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.3,0.1,0.3666666666666666,0.3
all_pairs,J_only,0.8333333333333334,isi,balance,0.5,72,72,1.0,72,1.0,1.0,0.3,0.1,0.3666666666666666,0.3
all_pairs,J_only,0.8666666666666667,active,SCA3_entry,0.6832817402871161,72,72,1.0,72,1.0,1.0,0.22499999999999998,0.045833333333333295,0.3333333333333333,0.22499999999999998
all_pairs,J_only,0.8666666666666667,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.22499999999999998,0.045833333333333295,0.3333333333333333,0.22499999999999998
all_pairs,J_only,0.8666666666666667,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.22499999999999998,0.045833333333333295,0.3333333333333333,0.22499999999999998
all_pairs,J_only,0.8666666666666667,isi,SCA3_entry,0.7978563373093712,72,72,1.0,71,0.9861111111111112,0.9833333333333334,0.3666666666666666,0.11249999999999995,0.4397048329434379,0.3666666666666666
all_pairs,J_only,0.8666666666666667,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.3583333333333333,0.11249999999999995,0.4166666666666667,0.3583333333333333
