subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
all_pairs,isi,0.7,72,0.553823302829876,-0.1290665074410123,1.0033642948047765,1.115541862937432,0.6410421074270883,2.0884818434285486,-0.7784266383252347,-1.0151574592592079,-0.645542781150878,-0.000833608824579835,-0.0065723949857293615,0.000324194531569383
all_pairs,isi,0.7333333333333333,72,0.6499890204597363,-0.04670213576492683,1.1147753884951919,1.2585309435277745,0.6247824486575368,1.966848102724681,-0.7958986932340606,-1.033876504659534,-0.6092182183673555,-0.0011688243394384918,-0.009909903642956491,0.0004192090830256314
all_pairs,isi,0.7666666666666666,72,0.5995271169537064,0.0321729946348163,1.0978060941729,1.1731035239372236,0.7832927623090775,2.0774544640576895,-0.7826191321532581,-1.0277537487344013,-0.5960082097155024,-0.0016309663185357648,-0.009270012873262103,-3.380634422130335e-05
all_pairs,isi,0.8,72,0.5968264943483466,-0.0435662191866861,1.1478979086483712,1.2817831292514859,0.6347106215115418,2.075584957213385,-0.8076500744800863,-0.9789666833110778,-0.5909177647406139,-0.0013165681907640614,-0.006025167996878231,-0.00015276915736899097
all_pairs,isi,0.8333333333333334,72,0.624766012987005,-0.018374368246801775,1.2224024425185338,1.287985883780649,0.69102526473845,2.1160039974188,-0.8257827802624329,-1.033141677117794,-0.5048962636217398,-0.0014914757153688687,-0.011854695602189774,0.00010157987635087129
all_pairs,isi,0.8666666666666667,72,0.6282840155091143,-0.015053470325210865,1.3485559436578949,1.2996842815337715,0.6133108367460229,2.237257366566494,-0.7812795433607698,-1.001105318152211,-0.5143701937870696,-0.0013127825434793862,-0.013138485362832419,0.00010167376506257413
all_pairs,isi,0.9,72,,,,1.232098108922176,0.6222734621888016,2.3809727919563475,-0.7728782296905912,-1.1614424190253276,-0.45725918825564393,,,
all_pairs,isi,0.9333333333333332,72,,,,1.148914671330123,0.4908019660801083,2.5001280487753608,-0.7523293683417748,-1.2024744630591302,-0.4301545971254233,,,
all_pairs,isi,0.9666666666666668,72,,,,1.1793115124522302,0.5683931651548759,2.61795991685683,-0.7764877950344147,-1.3739858988879756,-0.40454620347040227,,,
all_pairs,isi,1.0,72,,,,1.0471233231208057,0.5261421748221603,2.8164437532272384,-0.914847470057905,-1.7394957358315688,-0.4292586303345573,,,
core_secure_pairs,active,0.0,32,,,,1.3993465132683651,0.39467113102766993,2.482945742835544,-3.141143204493006,-4.649388880924696,-2.391495971977746,,,
core_secure_pairs,active,0.0333333333333333,32,,,,1.2872431920709397,0.6730798230888981,2.3333708146642183,-3.356971685468448,-4.392111088551526,-2.505541710536438,,,
core_secure_pairs,active,0.0666666666666666,32,,,,1.3884058642443429,0.7276750861820999,2.2594457919383886,-3.1260266418564004,-3.8633731525405945,-2.376768162025982,,,
core_secure_pairs,active,0.1,32,,,,1.4310310858993085,0.7062739132306386,2.3080555033051304,-2.9247652259690375,-3.311189940896181,-2.3062689471932574,,,
core_secure_pairs,active,0.1333333333333333,32,,,,1.3998811812652643,0.850790636831305,2.3089831551828253,-2.640212124173379,-3.035302433118688,-2.2107414545634163,,,
core_secure_pairs,active,0.1666666666666666,32,,,,1.5746608836094849,0.8791797658993532,2.268185700168471,-2.5283904604291605,-2.8161599830013206,-2.0511103148537915,,,
core_secure_pairs,active,0.2,32,,,,1.3818293718738475,0.8885807494917556,2.2631016426000863,-2.328485087755609,-2.5574975060077314,-2.0043693702467293,,,
core_secure_pairs,active,0.2333333333333333,32,,,,1.5343543196768907,0.5821979424084945,2.2726097765928257,-2.2196150887846304,-2.6890942159549382,-1.8009737403470827,,,
core_secure_pairs,active,0.2666666666666666,32,,,,1.5986684079155793,0.6894374674875974,2.279838284018193,-2.0689582254874486,-2.312329279419272,-1.6458802427571384,,,
core_secure_pairs,active,0.3,32,,,,1.5178716362290268,0.42478424969269923,2.2717985128507667,-1.9436113896343907,-2.3156013110379026,-1.4693557865965796,,,
core_secure_pairs,active,0.3333333333333333,32,,,,1.5486840844686447,0.8401408106982649,2.3655266459782283,-1.8303750467199236,-2.14910203553316,-1.477315869085888,,,
core_secure_pairs,active,0.3666666666666666,32,,,,1.575355034309694,0.8125620944752104,2.341923313275519,-1.770488414293989,-2.065746149556511,-1.5143843133524082,,,
core_secure_pairs,active,0.4,32,,,,1.6857596181960612,0.7992529389397144,2.30399570327555,-1.7261032993079617,-1.9963233386357728,-1.4133807720502785,,,
