biological_pair_key,both_core_secure,projection,stage,A_threshold,median_abs_delta_combined_weighted_median,median_abs_delta_kappa_weighted_median,median_abs_delta_J_weighted_median,median_abs_interaction_weighted_median,median_signed_interaction_weighted_median,scenario_support_with_band
WT_07__TO__SCA3_01,False,active,balance,0.5,0.5003660381937985,0.9010799572376345,1.4082877576670767,2.3528111276333643,-2.3528111276333643,0.75
WT_07__TO__SCA3_01,False,isi,SCA3_entry,0.7978563373093712,0.2352360049593546,0.3573056220875661,0.2563175850106424,0.14924367148506984,-0.05619232256392678,1.0
WT_07__TO__SCA3_01,False,isi,WT_exit,0.1358293233470019,0.6481977071009345,0.757293990238751,1.3209787339294903,0.5673524910325887,0.5673524910325887,0.375
WT_07__TO__SCA3_01,False,isi,balance,0.5,0.08382136660290615,0.23207123713988795,0.21967437593800368,0.012222602532356908,-0.012222602532356908,0.875
WT_07__TO__SCA3_02,False,active,SCA3_entry,0.6832817402871161,0.10996656122404072,0.20678025589722493,0.1285096132728574,0.039737463346958435,-0.0364933237271028,0.9642857142857143
WT_07__TO__SCA3_02,False,active,WT_exit,0.1483293470542087,0.14728519294703557,0.306140606665413,0.18620195311876792,0.03528072254112162,-0.0006158032592754326,0.8571428571428571
WT_07__TO__SCA3_02,False,active,balance,0.5,0.16310310746591447,0.23827566280078188,0.14097626123352724,0.0517900024714082,-0.01035804788779275,0.9642857142857143
WT_07__TO__SCA3_02,False,isi,SCA3_entry,0.7978563373093712,0.18708969820430027,0.24549644353487415,0.1607393966739843,0.058243599737986713,-0.016169694691920145,1.0
WT_07__TO__SCA3_02,False,isi,WT_exit,0.1358293233470019,0.16743409208267018,0.3095372240555103,0.1563470243685608,0.029815540245133637,-0.003067604505633103,0.8214285714285714
WT_07__TO__SCA3_02,False,isi,balance,0.5,0.11010111711190862,0.17251455189003714,0.09372010134625108,0.04215547529372987,-0.007013775573157743,1.0
WT_07__TO__SCA3_04,False,active,SCA3_entry,0.6832817402871161,0.031848763766109456,0.0582122416291323,0.10778786976012156,0.01189921376175429,-0.00019127831597054445,0.8750000000000001
WT_07__TO__SCA3_04,False,active,WT_exit,0.1483293470542087,0.9015596024746648,0.7104205746733389,1.0393882977456397,0.08216300435550326,0.022188629245337793,0.41666666666666674
WT_07__TO__SCA3_04,False,active,balance,0.5,0.4044670774196706,0.089341129050444,0.4679821887586163,0.04253648953090372,-4.7663991705027e-05,0.41666666666666674
WT_07__TO__SCA3_04,False,isi,SCA3_entry,0.7978563373093712,0.06093046198121188,0.0463707022492848,0.08209420439495144,0.0323338776171431,2.2408634547277373e-05,1.0
WT_07__TO__SCA3_04,False,isi,WT_exit,0.1358293233470019,0.3782168788708003,0.3171681749611559,0.36906597085917464,0.1169810896299732,-0.1169810896299731,0.6666666666666666
WT_07__TO__SCA3_04,False,isi,balance,0.5,0.1636796929921039,0.12091923019110823,0.21438955611013072,0.08350321287787321,-0.00768838884573364,1.0
WT_07__TO__SCA3_05,False,active,SCA3_entry,0.6832817402871161,0.1360059460108839,0.24218650550499954,0.6264749976045639,0.02736252151594204,-0.005758134077427368,0.5714285714285714
WT_07__TO__SCA3_05,False,active,WT_exit,0.1483293470542087,1.164490239422749,0.6377828503242038,0.9203146849196917,0.07890790466266925,0.06068022040002896,0.39285714285714285
WT_07__TO__SCA3_05,False,active,balance,0.5,0.12546553340306682,0.1591511049129236,0.06875340967012555,0.023805567309936784,0.00015948006498861522,0.5357142857142857
WT_07__TO__SCA3_05,False,isi,SCA3_entry,0.7978563373093712,0.09708829456530588,0.04877109697486037,0.10282976138367561,0.03046240869142741,-0.006034434371953334,0.9285714285714286
