feature,family,current_pA,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
firing_rate_hz,electrophysiology,0.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,50.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,100.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,150.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,200.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,250.0,13,7,0.0,0.0,0.0,0.0,0.0,0.054945054945054944,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,300.0,13,7,0.0,0.0,0.0,-20.0,1.0,-0.13186813186813187,exact,77520,1.0,1.0,1.0,1.0
firing_rate_hz,electrophysiology,350.0,13,7,30.0,0.0,-30.0,-48.0,11.0,-0.34065934065934067,exact,77520,0.3563467492260062,0.6688127404071676,0.808633007859014,0.6688127404071676
firing_rate_hz,electrophysiology,400.0,13,7,37.0,15.0,-22.0,-50.0,17.224999999998772,-0.37362637362637363,exact,77520,0.4867389060887513,0.7833475232198143,0.8100871193030456,0.7833475232198143
firing_rate_hz,electrophysiology,450.0,13,7,49.0,17.0,-32.0,-56.22499999999999,11.0,-0.5274725274725275,exact,77520,0.1457688338493292,0.4756807176311821,0.4943727783511065,0.4756807176311821
firing_rate_hz,electrophysiology,500.0,13,7,57.0,8.0,-49.0,-77.0,-1.0,-0.6153846153846154,exact,77520,0.12012383900928793,0.42214949137549757,0.4943727783511065,0.42214949137549757
firing_rate_hz,electrophysiology,550.0,13,7,55.0,19.0,-36.0,-73.0,19.0,-0.32967032967032966,exact,77520,0.15082559339525284,0.4756807176311821,0.4943727783511065,0.4756807176311821
firing_rate_hz,electrophysiology,600.0,13,7,53.0,32.0,-21.0,-84.0,17.0,-0.4945054945054945,exact,77520,0.24256965944272446,0.5424739656628201,0.6505277230509429,0.5424739656628201
